Description,Name
Unit ID for institution,cip.unit_id
6-digit OPE ID for institution,cip.ope6_id
Institution name,cip.school.name
Control of institution,cip.school.type
Flag for main campus,cip.school.main_campus
Classification of Instructional Programs (CIP) code for the field of study,cip.code
Text description of the field of study CIP Code,cip.title
Level of credential,cip.credential.level
Text description of the level of credential,cip.credential.title
Number of awards to all students in year 1 of the pooled debt cohort,cip.counts.ipeds_awards1
Number of awards to all students in year 2 of the pooled debt cohort,cip.counts.ipeds_awards2
Student recipient count for average/median Parent PLUS loan debt disbursed at all institutions,cip.debt.parent_plus.all.all_inst.count
Average Parent PLUS loan debt disbursed at all institutions,cip.debt.parent_plus.all.all_inst.average
Median Parent PLUS loan debt disbursed at all institutions,cip.debt.parent_plus.all.all_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed to males at all institutions,cip.debt.parent_plus.male.all_inst.count
Average Parent PLUS loan debt disbursed to males at all institutions,cip.debt.parent_plus.male.all_inst.average
Median Parent PLUS loan debt disbursed to males at all institutions,cip.debt.parent_plus.male.all_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed to non-males at all institutions,cip.debt.parent_plus.not_male.all_inst.count
Average Parent PLUS loan debt disbursed to non-males at all institutions,cip.debt.parent_plus.not_male.all_inst.average
Median Parent PLUS loan debt disbursed to non-males at all institutions,cip.debt.parent_plus.not_male.all_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed to Pell recipients at all institutions,cip.debt.parent_plus.pell.all_inst.count
Average Parent PLUS loan debt disbursed to Pell recipients at all institutions,cip.debt.parent_plus.pell.all_inst.average
Median Parent PLUS loan debt disbursed to Pell recipients at all institutions,cip.debt.parent_plus.pell.all_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,cip.debt.parent_plus.not_pell.all_inst.count
Average Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,cip.debt.parent_plus.not_pell.all_inst.average
Median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,cip.debt.parent_plus.not_pell.all_inst.median
Student recipient count for average/median Parent PLUS loan debt disbursed at this institution,cip.debt.parent_plus.all.eval_inst.count
Average Parent PLUS loan debt disbursed at this institution,cip.debt.parent_plus.all.eval_inst.average
Median Parent PLUS loan debt disbursed at this institution,cip.debt.parent_plus.all.eval_inst.median
